model,accuracy,f1,precision,recall,roc_auc,train_eval_seconds
logreg,0.7835541114721319,0.7793902286093419,0.7917555489255377,0.783554111472132,0.8505311936903727,32.55167627334595
rf,0.7919520119970007,0.7890465845706883,0.7970033508216323,0.7919520119970007,0.8585977252340764,112.19722580909729
gbt,0.7979505123719071,0.7956946414705184,0.80147833909027,0.7979505123719071,0.8689109167301916,222.10603284835815
linsvc,0.7841539615096226,0.7787240462207122,0.7968577137070476,0.7841539615096227,0.8546631964266693,52.850648641586304
