item,mean_auc,ci_lower,ci_upper
logreg,0.8488149659461377,0.8435372062247021,0.8536015424380441
gbt,0.8744679984756154,0.8687797062984128,0.8788384443990914
gbt_minus_logreg,0.025653032529477694,0.01881227553330234,0.032730359917889425
p_value,0.0,,
