sigma,auc_base,auc_noisy,auc_delta,flip_rate,seconds
0.001,0.8743573390367759,0.8740623202851072,-0.0002950187516687075,0.0010039656643742784,2.9681460857391357
0.01,0.8743573390367759,0.8735792730056856,-0.0007780660310903187,0.010642036042367351,1.873732089996338
0.05,0.8743573390367759,0.8688476668407943,-0.005509672195981641,0.037046333015410875,1.5396296977996826
